variable,lower,median,upper,distribution,unit,label,Description,Remarks/ sources
farmer_planning_time,240,NA,720,posnorm,hour,Time spent discussing goals with consultants + planning AF system + other planning work done by farmer,,
dig_planting_holes,0.09,NA,0.13,posnorm,hour/tree,Labour hours of preparing planting holes,,
tree_density,50,NA,600,posnorm,trees/ha,Number trees per hectare,,
seedling_price_poplar,0.15,NA,0.2908,posnorm,EUR/tree,Prices cuttings 0.2 m poplar,,
planting_trees,0.01,NA,0.3,posnorm,hour/tree,Labour hours of planting tree [h/tree],,
plant_protection,1,NA,5,posnorm,EUR/tree,"Cost of mesh and fence for protection against damage from voles, hares, deer and  other animals",,
weed_protection,1,NA,1.15,posnorm,EUR/tree,Cost of adding  weed suppression to tree base,,
compost_planting,10,NA,20,posnorm,l/tree,Compost used at the time of planting,,
compost_price,0.19,NA,0.19,const,EUR/l,Price of compost,,
irrigation_planting,5,NA,10,posnorm,l/tree,Water used soon after planting tree,,
irrigation_annual,5,NA,10,posnorm,l/tree,Annual water use,,
irrigation_123,5,NA,20,posnorm,l/tree,Water use in the frist three years of tree establishment,,
es3_application,10,NA,12,posnorm,hour,Time spent on application for ES3 subsidy,,
pruning_annual,0.15,NA,0.65,posnorm,h/tree,Labour hours for pruning,,
time_first_volume_est,10,NA,10,const,year,Year in which first harvest of timber is expected,,
timber_harvest_labour,50,NA,800,posnorm,hour,Labour hours for harvesting timber,,
AF_Livestock_density,0.4,NA,4.3,posnorm,,Livestock density per hectare is more than grassland,Number of cows that can graze per hectare in a year,
AF_daily_water_per_cow,60,NA,90,posnorm,,Daily water requirement of cow (l),,
AF_feed_kg_year,800,NA,1000,posnorm,,concentrate feed per cow in KgDM/year,,
AF_heat_mortality_rate,3,NA,10,posnorm,,Cow mortality rate (%) under drought and heat stress in an agroforestry system,,
af_drought_multiplier,0.01,NA,0.2,posnorm,,% effect of drought mitigated by AF (seeds become 20% expensive in case drouht occurs in a year),,
af_heat_multiplier,0.01,NA,0.2,posnorm,,% effect of heat event (beomes 1 to 20% expensive in case heat event occurs in a year),,
AF_grass_water,300000,NA,700000,posnorm,,Water to irrigate l/ha,,
AF_reduction_min,0.05,NA,0.05,const,,Minimum reduction per THI unit > 68 (Kg/cow/day/unit),https://doi.org/10.3389/ffgc.2024.1379741,
AF_reduction_max,0.15,NA,0.15,const,,Maximum reduction per THI unit > 68 (Kg/cow/day/unit),,
var_cv,5,NA,10,posnorm,,,,
labor_costs_ha,12.41,NA,19.85,posnorm,,,,
initial_height,1,NA,2,posnorm,m,Starting height in meters at Year 1,,
growth_rate,2,NA,4,posnorm,m,Average annual growth rate in meters,,
agb_conversion,1,NA,2.5,posnorm,kg/m,Above-ground biomass (AGB) in kg per meter,,
bgb_ratio,0.19,NA,0.3,posnorm,,Root-to-shoot ratio for below-ground biomass (BGB),,
carbon_fraction,0.4,NA,0.6,posnorm,,Carbon content in biomass,,
carbon_price,45,NA,45,const,EUR,Price per ton of carbon in Euro,,
timber_conversion,0.05,NA,0.5,posnorm,Cubic meters per meter of height,tree height to timber yield conversion rate,,
es3_subsidy,200,NA,200,const,EUR,,,
timber_price,50,NA,100,posnorm,EUR,timber price per m³ in Euro,,
wood_chips_price_t_35perc,74,NA,119,posnorm,EUR,Price of Wood Chips 35% Residual Moisture,,
